id,name,synonym_names,taggings_count,name_with_ancestry
190489,crossmann & compnay,[],37,crossmann & compnay
190502,Charlyn Stanberry,[],28,Charlyn Stanberry
190668,Vikash Gayah,[],13,Vikash Gayah
190669,traffic,[],13,traffic
190670,Richard Sloane,[],8,Richard Sloane
190671,SGA,[],33,SGA
190672,brandy hollinger,[],18,brandy hollinger
190673,national security education,[],24,national security education
190674,abroad,[],24,abroad
190675,cassandra long,[],24,cassandra long
190676,Mubarek Shah,[],15,Mubarek Shah
190677,vision,[],15,vision
190682,Roger Handberg,[],2,Roger Handberg
191042,Commencement,"[""graduation""]",3239,Commencement
191044,graduates,[],1828,graduates
191046,Fall Commencement 2009,[],11,Fall Commencement 2009
191371,Todd Dagenais,[],22,Todd Dagenais
191372,head coach,[],33,head coach
191374,Renee Gillispie,[],1,Renee Gillispie
191375,softball,[],37,softball
191381,players,[],49,players
191474,Dinender Singla,[],50,Dinender Singla
191475,dinender,[],50,dinender
191476,stem cells,[],50,stem cells
191477,biological sciences,[],82,biological sciences
191737,Deborah Beidel,[],48,Deborah Beidel
191738,ptsd,[],48,ptsd
191739,smell,[],47,smell
191740,virtual iraq,[],47,virtual iraq
191793,kimya massey,[],16,kimya massey
191794,tutor,[],16,tutor
191795,idealab,[],11,idealab
191897,Jonathan Winfrey,[],47,Jonathan Winfrey
191898,food to table,[],127,food to table
191899,east end market,[],127,east end market
191900,food chain,[],148,food chain
191901,gabriela lothrop,[],62,gabriela lothrop
191902,John Rife,[],62,John Rife
191903,Alex Stringfellow,[],50,Alex Stringfellow
191904,Alexia Guwlak,[],50,Alexia Guwlak
191905,julie norris,[],55,julie norris
191906,table top,[],19,table top
191907,farm to table,[],21,farm to table
191988,Ford 2012,[],4,Ford 2012
191989,Ford virtual car demonstration 2012,[],4,Ford virtual car demonstration 2012
191991,car,[],97,car
192262,Rebecca Reis-Miller,[],2,Rebecca Reis-Miller
193036,kaylin,[],15,kaylin
193037,dr. berman,[],15,dr. berman
193038,Moses Murdock,[],34,Moses Murdock
193039,Dr. William Self,[],34,Dr. William Self
193053,robert venditti,[],12,robert venditti
193054,Green Lantern,[],12,Green Lantern
193055,comic,[],12,comic
193056,graphic,[],12,graphic
193057,novels,[],12,novels
193058,the surrogates,[],12,the surrogates
193059,etsy,[],19,etsy
193060,creative director,[],19,creative director
193061,randy hunt,[],19,randy hunt
193370,Chris Castro,[],39,Chris Castro
193371,ucf intiative,[],39,ucf intiative
193372,dr. phillips beam signing,[],15,dr. phillips beam signing
193373,sign,[],15,sign
193374,beam,[],15,beam
193377,mark pollit,[],13,mark pollit
193378,FBI,[],13,FBI
193379,cyber-security,[],13,cyber-security
193380,evidence,[],13,evidence
193381,Lauren Brown,[],9,Lauren Brown
193382,bike and build,[],9,bike and build
193383,homecoming queen,[],20,homecoming queen
193384,first,[],20,first
193385,FTU,[],47,FTU
193386,Patty Grey Neff,[],59,Patty Grey Neff
193387,Blue Dress,[],6,Blue Dress
193388,Homecoming Dress,[],6,Homecoming Dress
193389,Brian Crutcher,[],19,Brian Crutcher
193394,Leadership week,[],7,Leadership week
193396,Texas Instruments,[],39,Texas Instruments
193721,maker space,"[""maker spaces""]",39,maker space
193723,innovation,[],39,innovation
193727,Gwen Bingham,[],7,Gwen Bingham
193728,Leader,[],7,Leader
193776,Battle of the Bands,[],4,Battle of the Bands
194587,Ben Carpenter,[],14,Ben Carpenter
194588,Jason Dunn,[],12,Jason Dunn
194592,Busses,[],9,Busses
194594,buses,[],64,buses
194595,shuttles,"[""bus"", ""shuttle"", ""UCF Buses"", ""UCF Bus""]",64,shuttles
194596,Pegasus Bus,[],20,Pegasus Bus
194597,SUCF Shuttle,[],20,SUCF Shuttle
194598,UCF Buses,"[""bus"", ""shuttle"", ""shuttles"", ""UCF Bus""]",36,UCF Buses
194599,UCF shuttles,"[""UCF shuttle""]",36,UCF shuttles
194602,Pat Ruskin,[],16,Pat Ruskin
194605,the zero theorum,[],16,the zero theorum
194606,script writer,[],16,script writer
194607,feature film,[],16,feature film
194689,Christrian Rodriguez,[],1,Christrian Rodriguez
194690,Christian Rodriguez,[],1,Christian Rodriguez
196440,Jason Skidmore,[],1,Jason Skidmore
196677,aerospace,[],9,aerospace
196678,Breanna Nichols,[],1,Breanna Nichols
196679,Chad Lowe,[],1,Chad Lowe
196683,bus stop,[],14,bus stop
196685,art history,[],4,art history
196686,jennifer and alyssa,[],4,jennifer and alyssa
196689,starbucks,[],63,starbucks
196692,job,[],3,job
196712,Patrick Ichikawa,[],1,Patrick Ichikawa
196713,Emily Jones,[],1,Emily Jones
197276,UCF vs BYU,[],82,UCF vs BYU
197774,save c02,[],86,save c02
197775,Lily Richardson,[],1,Lily Richardson
197790,tyquisha lee,[],1,tyquisha lee
197917,BA2,[],7,BA2
197919,suit,[],18,suit
198630,b.o.b,[],67,b.o.b
198631,icono pop,[],67,icono pop
198954,homecoming 2014,[],75,homecoming 2014
199029,Alexis Plater,[],3,Alexis Plater
199030,LEAD Academy,[],3,LEAD Academy
199185,Louis Lubin,[],7,Louis Lubin
199249,Chris D'elia,[],25,Chris D'elia
199250,Ben Bailey,[],25,Ben Bailey
199424,World's Stage,[],3,World's Stage
199626,ducks,[],2,ducks
199670,fireworks,[],116,fireworks
199748,homecoming game,[],43,homecoming game
200016,Delaine Priest,[],21,Delaine Priest
200274,Sherron Roberts,[],19,Sherron Roberts
200275,Robin Roberts,[],19,Robin Roberts
201000,UCF50,[],6,UCF50
201001,50th anniversary,[],32,50th anniversary
201002,Promised Land,[],6,Promised Land
201003,Dr. Millican,"[""Charles Millican""]",6,Dr. Millican
201004,Heather Pena,"[""Heather Peña""]",11,Heather Pena
201080,halloween 2014,[],46,halloween 2014
201081,costumes,[],150,costumes
201302,Dancing,[],11,Dancing
201303,salsa,[],2,salsa
201304,international fair,[],51,international fair
201305,culture,[],24,culture
201306,heritage,[],24,heritage
201310,Student Involvement,[],1,Student Involvement
201312,dress,[],1,dress
201313,oculus rift,[],9,oculus rift
201314,flight,[],11,flight
201315,flying,[],11,flying
201316,oculus,[],2,oculus
201317,rift,[],2,rift
201318,homecoming court,[],114,homecoming court
201319,Erica Dunlap,[],2,Erica Dunlap
201320,pineapple,[],0,pineapple
201321,Team Knightro,[],7,Team Knightro
201334,academic affairs,[],33,academic affairs
201335,Charles Reilly,[],13,Charles Reilly
201540,election day,[],12,election day
201541,vote,"[""voting""]",12,vote
201542,voting,"[""vote""]",12,voting
201624,Faculty and Staff Campaign,[],324,Faculty and Staff Campaign
201625,Women's Studies,[],17,Women's Studies
201627,SDES,[],102,SDES
201628,Facutly and Staff Campaign,[],7,Facutly and Staff Campaign
201629,Associate Director of Events and Facilities,[],7,Associate Director of Events and Facilities
202013,pottery,[],42,pottery
202014,workshop,[],3,workshop
202015,Research Lab,[],79,Research Lab
202016,beakers,[],6,beakers
202017,mechanical,[],2,mechanical
202018,mechanics,[],2,mechanics
202019,hand,[],15,hand
202021,RTV,[],2,RTV
202022,radio television,[],3,radio television
202043,Acting,[],96,Acting
202044,Drama,[],96,Drama
202045,Guys and Dolls,[],96,Guys and Dolls
202046,Thespian,[],96,Thespian
202047,bride,[],10,bride
202048,groom,[],10,groom
202049,Hamlet,[],29,Hamlet
202055,Scientist,[],78,Scientist
202056,Test Tube,[],14,Test Tube
202057,petrie dish,[],12,petrie dish
202059,anthropology,[],38,anthropology
202060,mummy,[],89,mummy
202061,Engineering academics,[],3,Engineering academics
202062,Engineering academics model airplane,[],2,Engineering academics model airplane
202065,Engineering academics expo,[],2,Engineering academics expo
202066,DARPA Car Engineering technology remote sonar unmanned vehichle,[],24,DARPA Car Engineering technology remote sonar unmanned vehichle
202093,Medical response helicopter emergency,[],213,Medical response helicopter emergency
202094,Medical response helicopter emergency patient transport,[],10,Medical response helicopter emergency patient transport
202095,Medical equipment,[],8,Medical equipment
202096,Operation ER patient care,[],106,Operation ER patient care
202463,UCF Downtown kick-off,[],24,UCF Downtown kick-off
202464,committee,[],24,committee
202465,Newborn baby medical hospital,[],28,Newborn baby medical hospital
202467,Gallery Show,[],3,Gallery Show
202468,Graduate Students,[],3,Graduate Students
202469,MFA,[],2,MFA
202470,Masters of Fine Art,[],3,Masters of Fine Art
202472,raised hand,[],1,raised hand
202811,molnars,[],11,molnars
202814,molnar,[],11,molnar
202815,fan,"[""fans""]",0,fan
203097,Aja Grooms,[],15,Aja Grooms
203098,Opera Gala,[],15,Opera Gala
203100,UCF Performing Arts,[],15,UCF Performing Arts
203321,Family Weekend,[],82,Family Weekend
203322,2006,[],71,2006
203363,under the stars,[],41,under the stars
203684,nintendo,[],15,nintendo
204755,the venue,[],86,the venue
204894,Groundbreaking,[],32,Groundbreaking
204895,Wayne Densch,"[""Wayne Densch Student Athletic Center""]",32,Wayne Densch
204896,Wayne Densch Student Athletic Center,"[""Wayne Densch""]",40,Wayne Densch Student Athletic Center
205094,machine lab,[],41,machine lab
205426,Scholars Program,[],16,Scholars Program
205432,planting,[],14,planting
205438,casting call,[],110,casting call
205439,stock,[],110,stock
205440,backdrop,[],110,backdrop
205441,generic,[],110,generic
205442,general,[],110,general
205464,Faces of the Game,[],53,Faces of the Game
205512,Spring 2013,[],230,Spring 2013
205538,cap and gown,[],239,cap and gown
205676,programs and initiatives,[],11,programs and initiatives
205677,environmental,[],11,environmental
205678,growth,[],11,growth
205679,e,[],11,e
205680,seed,[],11,seed
205681,agriculture,[],11,agriculture
205689,historical,"[""historic""]",438,historical
205690,Historic photographs scanned film history,[],14,Historic photographs scanned film history
205692,UCF History,[],102,UCF History
